"Tahun","Total","MIGAS","NON MIGAS","Agriculture","Industry","Mining","Others"
"Januari","13,632.04","816.17","12,815.87","295.87","10,732.74","1,786.78","0.47"
"Februari","14,060.90","805.04","13,255.86","299.04","11,143.86","1,812.66","0.30"
"Maret","14,067.94","653.36","13,414.58","315.13","11,119.30","1,979.63","0.52"
"April","12,163.14","563.95","11,599.18","283.88","9,772.92","1,541.95","0.43"
"Mei","10,454.28","560.60","9,893.68","235.48","8,330.94","1,327.08","0.19"
"Juni","12,009.34","569.36","11,439.98","281.31","9,648.40","1,510.11","0.15"
"Juli","13,702.67","679.03","13,023.64","349.66","11,283.98","1,389.66","0.35"
"Agustus","13,095.78","598.73","12,497.06","342.64","10,768.38","1,385.47","0.56"
